LBDName,DBDName,LBD,inducer,RPU,I0,Imax
RpaRTemp,DBD343,1.348649,0,0.027373,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,0.1,0.016364,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,1,0.048795,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,10,1.168105,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,50,5.149063,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,100,6.856888,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,500,9.231181,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,1000,10.21898,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,0,0.177328,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,0.1,0.168402,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,1,0.376674,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,10,4.616483,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,50,10.00179,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,100,14.55995,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,500,16.41357,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,1000,17.18715,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,0,0.186254,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,0.1,0.153526,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,1,0.394525,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,10,4.280274,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,50,10.09402,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,100,13.44124,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,500,16.92532,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,1000,17.02946,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,0,0.680155,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,0.1,0.712883,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,1,1.352574,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,10,7.502529,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,50,13.52455,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,100,16.41357,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,500,19.49003,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,1000,19.85302,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,0,0.656352,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,0.1,0.706932,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,1,1.36745,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,10,7.785183,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,50,13.5662,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,100,15.82148,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,500,18.61529,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,1000,17.7227,0.006969286,35.84931505
RpaRTemp,DBD343,0,0,0.000746,0.006969286,35.84931505
RpaRTemp,DBD343,0,0.1,0.005222,0.006969286,35.84931505
RpaRTemp,DBD343,0,1,0.012383,0.006969286,35.84931505
RpaRTemp,DBD343,0,10,0.011786,0.006969286,35.84931505
RpaRTemp,DBD343,0,50,0.0091,0.006969286,35.84931505
RpaRTemp,DBD343,0,100,0.008205,0.006969286,35.84931505
RpaRTemp,DBD343,0,500,0.007907,0.006969286,35.84931505
RpaRTemp,DBD343,0,1000,0.007012,0.006969286,35.84931505
RpaRTemp,DBD343,0,0.1,0.004923,0.006969286,35.84931505
RpaRTemp,DBD343,0,1,0.007012,0.006969286,35.84931505
RpaRTemp,DBD343,0,10,0.006713,0.006969286,35.84931505
RpaRTemp,DBD343,0,50,0.00373,0.006969286,35.84931505
RpaRTemp,DBD343,0,100,0.004923,0.006969286,35.84931505
RpaRTemp,DBD343,0,500,0.004625,0.006969286,35.84931505
RpaRTemp,DBD343,0,1000,0.007609,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,0,0.010294,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,0.1,0.011786,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,1,0.012383,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,10,0.035357,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,50,0.114426,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,100,0.230195,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,500,0.716545,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,1000,0.907504,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,0,0.011487,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,0.1,0.012979,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,1,0.015366,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,10,0.03118,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,50,0.11562,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,100,0.254065,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,500,0.740415,0.006969286,35.84931505
RpaRTemp,DBD343,0.186931,1000,0.934358,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,0,0.012681,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,0.1,0.015963,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,1,0.020439,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,10,0.120692,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,50,1.011935,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,100,1.883187,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,500,3.843503,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,1000,4.371625,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,0,0.012681,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,0.1,0.012979,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,1,0.021035,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,10,0.14307,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,50,1.029837,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,100,1.865284,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,500,3.771893,0.006969286,35.84931505
RpaRTemp,DBD343,0.641951,1000,4.428316,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,0,0.042518,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,0.1,0.036252,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,1,0.06788,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,10,1.510219,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,50,5.577055,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,100,7.349396,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,500,10.16605,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,1000,10.74489,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,0,0.038043,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,0.1,0.036551,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,1,0.06788,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,10,1.408772,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,50,5.953006,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,100,7.191258,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,500,10.35402,0.006969286,35.84931505
RpaRTemp,DBD343,2.033865,1000,11.04625,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,0,0.221244,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,0.1,0.227212,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,1,0.480829,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,10,5.824705,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,50,11.42817,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,100,12.92302,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,500,16.36924,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,1000,17.56572,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,0,0.236163,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,0.1,0.227212,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,1,0.439057,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,10,4.455169,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,50,9.885574,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,100,12.96181,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,500,16.3215,0.006969286,35.84931505
RpaRTemp,DBD343,5.332388,1000,16.02312,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,0,0.72848,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,0.1,0.70461,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,1,1.274504,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,10,7.418022,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,50,13.74355,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,100,15.77846,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,500,19.31717,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,1000,19.31717,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,0,0.764285,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,0.1,0.740415,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,1,1.292406,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,10,7.817843,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,50,13.28405,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,100,16.22005,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,500,18.62196,0.006969286,35.84931505
RpaRTemp,DBD343,8.536924,1000,18.50858,0.006969286,35.84931505
RpaRTemp,DBD335,0,100,0.001157,0.006969286,35.84931505
RpaRTemp,DBD335,0,1000,0.001736,0.006969286,35.84931505
RpaRTemp,DBD335,0.134259,10,0.024884,0.006969286,35.84931505
RpaRTemp,DBD335,0.134259,50,0.357639,0.006969286,35.84931505
RpaRTemp,DBD335,0.134259,100,1.052083,0.006969286,35.84931505
RpaRTemp,DBD335,0.134259,500,3.126736,0.006969286,35.84931505
RpaRTemp,DBD335,0.134259,1000,3.682292,0.006969286,35.84931505
RpaRTemp,DBD335,0.134259,10,0.021123,0.006969286,35.84931505
RpaRTemp,DBD335,0.134259,50,0.389468,0.006969286,35.84931505
RpaRTemp,DBD335,0.134259,100,1.138889,0.006969286,35.84931505
RpaRTemp,DBD335,0.134259,500,3.340856,0.006969286,35.84931505
RpaRTemp,DBD335,0.134259,1000,3.8125,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,0,0.004051,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,0.1,0.010706,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,1,0.013021,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,10,0.253472,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,50,2.851852,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,100,5.398148,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,500,10.15509,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,1000,11.03762,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,0,0.003472,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,0.1,0.006076,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,1,0.016782,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,10,0.241898,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,50,2.990741,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,100,5.603588,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,500,10.40972,0.006969286,35.84931505
RpaRTemp,DBD335,0.496528,1000,11.88252,0.006969286,35.84931505
RpaRTemp,DBD335,1.630787,0,0.136285,0.006969286,35.84931505
RpaRTemp,DBD335,1.630787,0.1,0.172454,0.006969286,35.84931505
RpaRTemp,DBD335,1.630787,1,0.305556,0.006969286,35.84931505
RpaRTemp,DBD335,1.630787,10,3.057292,0.006969286,35.84931505
RpaRTemp,DBD335,1.630787,50,8.12963,0.006969286,35.84931505
RpaRTemp,DBD335,1.630787,100,14.96701,0.006969286,35.84931505
RpaRTemp,DBD335,1.630787,500,20.71644,0.006969286,35.84931505
RpaRTemp,DBD335,1.630787,1000,22.43519,0.006969286,35.84931505
RpaRTemp,DBD335,4.689236,0,3.106481,0.006969286,35.84931505
RpaRTemp,DBD335,4.689236,0.1,3.416088,0.006969286,35.84931505
RpaRTemp,DBD335,4.689236,1,3.997685,0.006969286,35.84931505
RpaRTemp,DBD335,4.689236,10,10.03067,0.006969286,35.84931505
RpaRTemp,DBD335,4.689236,50,19.48669,0.006969286,35.84931505
RpaRTemp,DBD335,4.689236,100,25.98843,0.006969286,35.84931505
RpaRTemp,DBD335,4.689236,500,31.99826,0.006969286,35.84931505
RpaRTemp,DBD335,8.155671,0,11.45139,0.006969286,35.84931505
RpaRTemp,DBD335,8.155671,0.1,11.27778,0.006969286,35.84931505
RpaRTemp,DBD335,8.155671,1,12.21817,0.006969286,35.84931505
RpaRTemp,DBD335,8.155671,10,17.55671,0.006969286,35.84931505
RpaRTemp,DBD335,8.155671,50,28.92535,0.006969286,35.84931505
RpaRTemp,DBD335,0,50,0.002497,0.006969286,35.84931505
RpaRTemp,DBD335,0,100,0.004259,0.006969286,35.84931505
RpaRTemp,DBD335,0,500,0.003672,0.006969286,35.84931505
RpaRTemp,DBD335,0,100,0.003965,0.006969286,35.84931505
RpaRTemp,DBD335,0,500,0.010134,0.006969286,35.84931505
RpaRTemp,DBD335,0,1000,0.012777,0.006969286,35.84931505
RpaRTemp,DBD335,0.184902,0.1,0.000441,0.006969286,35.84931505
RpaRTemp,DBD335,0.184902,1,0.00984,0.006969286,35.84931505
RpaRTemp,DBD335,0.184902,10,0.06418,0.006969286,35.84931505
RpaRTemp,DBD335,0.184902,50,0.703334,0.006969286,35.84931505
RpaRTemp,DBD335,0.184902,100,1.502276,0.006969286,35.84931505
RpaRTemp,DBD335,0.184902,500,4.841974,0.006969286,35.84931505
RpaRTemp,DBD335,0.184902,1000,5.984579,0.006969286,35.84931505
RpaRTemp,DBD335,0.184902,10,0.065648,0.006969286,35.84931505
RpaRTemp,DBD335,0.184902,50,0.668086,0.006969286,35.84931505
RpaRTemp,DBD335,0.184902,100,1.62858,0.006969286,35.84931505
RpaRTemp,DBD335,0.184902,500,4.736231,0.006969286,35.84931505
RpaRTemp,DBD335,0.184902,1000,5.535174,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,0,0.007196,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,0.1,0.00984,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,1,0.011896,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,10,0.268615,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,50,3.664121,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,100,6.407549,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,500,11.13952,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,1000,12.10589,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,0.1,0.015127,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,1,0.00984,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,10,0.324424,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,50,3.449699,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,100,6.348803,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,500,11.38332,0.006969286,35.84931505
RpaRTemp,DBD335,0.483037,1000,12.83434,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,0,0.139668,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,0.1,0.142018,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,1,0.242179,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,10,3.913791,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,50,12.71685,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,100,16.66456,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,500,23.34396,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,1000,24.36613,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,0,0.186371,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,0.1,0.174622,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,1,0.253929,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,10,4.013658,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,50,12.03246,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,100,15.67176,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,500,22.09267,0.006969286,35.84931505
RpaRTemp,DBD335,1.753415,1000,24.74211,0.006969286,35.84931505
RpaRTemp,DBD335,4.485093,0,3.238214,0.006969286,35.84931505
RpaRTemp,DBD335,4.485093,0.1,3.179468,0.006969286,35.84931505
RpaRTemp,DBD335,4.485093,1,3.902041,0.006969286,35.84931505
RpaRTemp,DBD335,4.485093,10,12.75503,0.006969286,35.84931505
RpaRTemp,DBD335,4.485093,50,21.75782,0.006969286,35.84931505
RpaRTemp,DBD335,4.485093,100,25.82597,0.006969286,35.84931505
RpaRTemp,DBD335,4.485093,500,33.18975,0.006969286,35.84931505
RpaRTemp,DBD335,4.485093,0,3.249963,0.006969286,35.84931505
RpaRTemp,DBD335,4.485093,0.1,3.18828,0.006969286,35.84931505
RpaRTemp,DBD335,4.485093,1,3.743428,0.006969286,35.84931505
RpaRTemp,DBD335,4.485093,10,11.55955,0.006969286,35.84931505
RpaRTemp,DBD335,4.485093,50,21.36129,0.006969286,35.84931505
RpaRTemp,DBD335,4.485093,100,25.98458,0.006969286,35.84931505
RpaRTemp,DBD335,4.485093,500,32.68454,0.006969286,35.84931505
RpaRTemp,DBD335,7.705831,0,10.37876,0.006969286,35.84931505
RpaRTemp,DBD335,7.705831,0.1,10.86929,0.006969286,35.84931505
RpaRTemp,DBD335,7.705831,1,12.63754,0.006969286,35.84931505
RpaRTemp,DBD335,7.705831,10,22.50389,0.006969286,35.84931505
RpaRTemp,DBD335,7.705831,50,31.70054,0.006969286,35.84931505
RpaRTemp,DBD335,7.705831,0,10.18784,0.006969286,35.84931505
RpaRTemp,DBD335,7.705831,0.1,10.508,0.006969286,35.84931505
RpaRTemp,DBD335,7.705831,1,12.52298,0.006969286,35.84931505
RpaRTemp,DBD335,7.705831,10,23.20297,0.006969286,35.84931505
RpaRTemp,DBD335,7.705831,50,31.12483,0.006969286,35.84931505
RpaRTemp,DBD335,0.142007,10,0.026077,0.006969286,35.84931505
RpaRTemp,DBD335,0.142007,50,0.274376,0.006969286,35.84931505
RpaRTemp,DBD335,0.142007,100,0.790249,0.006969286,35.84931505
RpaRTemp,DBD335,0.142007,500,2.771542,0.006969286,35.84931505
RpaRTemp,DBD335,0.142007,1000,3.590703,0.006969286,35.84931505
